tweet_id,created_at,lang,text,raw_text,urls,shortener_url_present,mentions,hashtags,clickbait,anonymous_source,urgent_share,all_caps_headline,repeated_punct,conspiracy_phrase,vague_confirm,sensational_verb_claim,extreme_percent,misinfo_invite,numeric_rounding,fake_referral,emoji_plus_sens,mentioned_followers_count,mentioned_following_count,mentioned_growth,mentioned_rate,username,display_name,username_official,username_real,username_name_plus_numbers,username_many_digits,username_multi_underscore,username_fake_support,username_crypto_scam,followers_count,following_count,followers_following_ratio
1991880116931268695,2025-11-21T14:43:21+00:00,en,"🚨 BREAKING: Entertainment just got upgraded.
@_technotainment is fusing AI + Web3 + live streaming into one interactive universe.
If you’re here early… you’re EARLY. 👀🔥","🚨 BREAKING: Entertainment just got upgraded.
@_technotainment is fusing AI + Web3 + live streaming into one interactive universe.
If you’re here early… you’re EARLY. 👀🔥",[],False,['_technotainment'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,JackBlacky10934,Jack Blacky $BUBBLE 🫧🫧🫧,False,False,False,True,False,False,False,11,44,0.24444444444444444
1991880114909638713,2025-11-21T14:43:21+00:00,en,"@BillArnoldTeach These young ‘kids’ get it.  It amazes me Everytime. The church is a family. It has a Father, Mother, brothers and sisters, breaking bread together, and so much more.","@BillArnoldTeach These young ‘kids’ get it.  It amazes me Everytime. The church is a family. It has a Father, Mother, brothers and sisters, breaking bread together, and so much more.",[],False,['BillArnoldTeach'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,BelleClochette1,Belle Clochette,False,False,True,False,False,False,False,351,394,0.8886075949367088
1991880110174240769,2025-11-21T14:43:20+00:00,en,"vibhu was fired for alleged breaking company policy and fraud

jail for vibhu instead of justice 

$JAILHU

https://t.co/8XfwHCzqpq","vibhu was fired for alleged breaking company policy and fraud

jail for vibhu instead of justice 

$JAILHU

https://t.co/8XfwHCzqpq",['https://t.co/8XfwHCzqpq'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,0xbreezy__,Kim,False,False,False,False,True,False,False,33,2,11.0
1991880106722357350,2025-11-21T14:43:19+00:00,en,"🚨 BREAKING: Hansi Flick confirms Marcus Rashford doubtful for Barcelona's Camp Nou return with fever.

— @ BarcaBlaugranes https://t.co/zCUMYFSdPQ","🚨 BREAKING: Hansi Flick confirms Marcus Rashford doubtful for Barcelona's Camp Nou return with fever.

— @ BarcaBlaugranes https://t.co/zCUMYFSdPQ",['https://t.co/zCUMYFSdPQ'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,ff_dost12027,GFN,False,False,False,True,False,False,False,0,6,0.0
1991880089425055789,2025-11-21T14:43:15+00:00,en,"ild that Twitter (i said what I said) just... allows racists to speak freely and FLAGRANTLY.... yet I have gotten my account locked several times when I havent said anything even close to breaking ANY rule that has been set, past or otherwise. Hell, im scared to post even this","ild that Twitter (i said what I said) just... allows racists to speak freely and FLAGRANTLY.... yet I have gotten my account locked several times when I havent said anything even close to breaking ANY rule that has been set, past or otherwise. Hell, im scared to post even this",[],False,[],[],True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,alexjudge1,TheComeBackKid X,False,False,True,False,False,False,False,373,5300,0.07036408224863233
1991880084916211739,2025-11-21T14:43:14+00:00,en,BREAKING NEWS: Nigeria 🇳🇬 Police and St. Peters’ Foundation Secondary School in Nasarawa State has Dismiss Reports of Student K!dnapping👀 https://t.co/wniS25WjTp,BREAKING NEWS: Nigeria 🇳🇬 Police and St. Peters’ Foundation Secondary School in Nasarawa State has Dismiss Reports of Student K!dnapping👀 https://t.co/wniS25WjTp,['https://t.co/wniS25WjTp'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,thatuglyblogger,THATUGLYBLOGGER🗿,False,False,False,False,False,False,False,52,180,0.287292817679558
1991880084358373803,2025-11-21T14:43:14+00:00,en,"@NAACP You see, it’s like this.  Americans would like to have America back.  ✅

We fought hard for it and are not letting it go to people we don’t even know.

Anyone who supports keeping law breaking illegal aliens in the country should pack their bags and go back too. 🎯","@NAACP You see, it’s like this.  Americans would like to have America back.  ✅

We fought hard for it and are not letting it go to people we don’t even know.

Anyone who supports keeping law breaking illegal aliens in the country should pack their bags and go back too. 🎯",[],False,['NAACP'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,TonyDGianino,Tony,False,False,False,False,False,False,False,6600,1577,4.182509505703422
1991880081527201853,2025-11-21T14:43:13+00:00,en,"BREAKING: Heads of Palantir screw over retail investors after shares appreciate 2,500% from absolute lows. 
$pltr https://t.co/uoGuZJ7ouv","BREAKING: Heads of Palantir screw over retail investors after shares appreciate 2,500% from absolute lows. 
$pltr https://t.co/uoGuZJ7ouv",['https://t.co/uoGuZJ7ouv'],True,[],[],True,False,False,False,False,False,False,False,False,False,True,False,False,,,,,HassiOnTheMoon,Eric,False,False,False,False,False,False,False,582,281,2.0638297872340425
1991880079123902575,2025-11-21T14:43:12+00:00,en,Parasite panic is misleading! Here’s what’s really breaking down in the body @bemoreraw @MdFarella @NewHopeHealth @NicholaBurnett @Dr_Benulis https://t.co/xXs95kBJqe via @OutLoudNews,Parasite panic is misleading! Here’s what’s really breaking down in the body @bemoreraw @MdFarella @NewHopeHealth @NicholaBurnett @Dr_Benulis https://t.co/xXs95kBJqe via @OutLoudNews,['https://t.co/xXs95kBJqe'],True,"['bemoreraw', 'MdFarella', 'NewHopeHealth', 'NicholaBurnett', 'Dr_Benulis', 'OutLoudNews']",[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,OutLoudNews,America Out Loud News,False,False,False,False,False,False,False,32332,6862,4.7110593035115835
1991880077773250575,2025-11-21T14:43:12+00:00,en,"When @GrantiX_SoFi blows past the ""impossible"" resistance, the only thing breaking harder is their entire thesis. That rattling noise? Just disbelief hitting the floor. Buckle up.

TradFi crawls through paperwork. DeFi executes at the speed of deployed code. @MeteoriteCol

Some","When @GrantiX_SoFi blows past the ""impossible"" resistance, the only thing breaking harder is their entire thesis. That rattling noise? Just disbelief hitting the floor. Buckle up.

TradFi crawls through paperwork. DeFi executes at the speed of deployed code. @MeteoriteCol

Some",[],False,"['GrantiX_SoFi', 'MeteoriteCol']",[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,Akaza_ICA,Akaza,False,False,False,False,False,False,False,528,689,0.7652173913043478
1991880075093123237,2025-11-21T14:43:11+00:00,en,@harrynotaverage breaking news: full time content creator apologises for doing his job https://t.co/tsu93Q2rD6,@harrynotaverage breaking news: full time content creator apologises for doing his job https://t.co/tsu93Q2rD6,['https://t.co/tsu93Q2rD6'],True,['harrynotaverage'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,ankle_monitors,ankle,False,False,False,False,False,False,False,23,56,0.40350877192982454
1991880065744068981,2025-11-21T14:43:09+00:00,en,"🎁 10 Promo Codes Giveaway – Your chance to get it FREE!
To join:
1️⃣ Follow @AndroidTools3 &amp; @junaid_mohana
2️⃣ Retweet this post
3️⃣ Tag your friends who love customization 🔥

⏳ Winners announced in 48 hours!
Don’t miss it — transform your screen with OneUI 3D Widgets 🚀","🎁 10 Promo Codes Giveaway – Your chance to get it FREE!
To join:
1️⃣ Follow @AndroidTools3 &amp; @junaid_mohana
2️⃣ Retweet this post
3️⃣ Tag your friends who love customization 🔥

⏳ Winners announced in 48 hours!
Don’t miss it — transform your screen with OneUI 3D Widgets 🚀",[],False,"['AndroidTools3', 'junaid_mohana']",[],False,False,True,False,False,False,False,False,False,False,True,False,True,,,,,AndroidTools3,Android Tools 4U,False,False,True,False,False,False,False,123799,88,1391.0
1991880059762938246,2025-11-21T14:43:08+00:00,en,#BREAKING: NY FED RECEIVES NO BIDS AT OVERNIGHT REPO OPERATION,#BREAKING: NY FED RECEIVES NO BIDS AT OVERNIGHT REPO OPERATION,[],False,[],['BREAKING'],True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,BCDNewsBot,🚨BDN NEWS WIRE🚨,False,False,False,False,False,False,False,25,58,0.423728813559322
1991880046789971990,2025-11-21T14:43:05+00:00,en,"I’m going SHORT on $WIF

Price is breaking down and failing to hold key support levels.
Lower highs are forming and sellers are in control. Momentum is clearly bearish and there’s still room for more downside.

Short Entry: 0.34 – 0.35

Targets: 0.31 → 0.28 → 0.25

Stop Loss: https://t.co/To4ojFW8JJ","I’m going SHORT on $WIF

Price is breaking down and failing to hold key support levels.
Lower highs are forming and sellers are in control. Momentum is clearly bearish and there’s still room for more downside.

Short Entry: 0.34 – 0.35

Targets: 0.31 → 0.28 → 0.25

Stop Loss: https://t.co/To4ojFW8JJ",['https://t.co/To4ojFW8JJ'],True,[],[],True,False,False,False,False,False,False,False,False,False,True,False,False,,,,,ShahMuzami98676,Muzamil Shah,False,False,False,True,False,False,False,203,33,5.970588235294118
1991880044268888312,2025-11-21T14:43:04+00:00,en,@LauraLoomer You guys have the same script everytime someone breaks from the hive mind. People are allowed to have their own opinions lmao you people praise sen. Fetterman for breaking from the dems,@LauraLoomer You guys have the same script everytime someone breaks from the hive mind. People are allowed to have their own opinions lmao you people praise sen. Fetterman for breaking from the dems,[],False,['LauraLoomer'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,AlphaRangr,AlphaRangr,False,False,False,False,False,False,False,69,241,0.28512396694214875
1991880025533247847,2025-11-21T14:43:00+00:00,en,"🚨BREAKING: Nigerian Army Affiliated Sources Reported That The Army Ambushed ISWAP Logistics Suppliers Between Kumshe And Banki, Capturing Four Bicycles And Other Supplies https://t.co/4nTu6nZ02O","🚨BREAKING: Nigerian Army Affiliated Sources Reported That The Army Ambushed ISWAP Logistics Suppliers Between Kumshe And Banki, Capturing Four Bicycles And Other Supplies https://t.co/4nTu6nZ02O",['https://t.co/4nTu6nZ02O'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,Wildcontent_,Wildcontent,False,False,False,False,False,False,False,3,7,0.375
1991880022399873244,2025-11-21T14:42:59+00:00,en,"@ZeusRWA @defisushi And still, just like football, the space is filled with betting advertising.

Loan here. Loan there.

That's why RWAs are going to stand the test of time. But they also need more attractiveness to earn adoption.

Just like in tennis, you won't believe it how much you'll win by","@ZeusRWA @defisushi And still, just like football, the space is filled with betting advertising.

Loan here. Loan there.

That's why RWAs are going to stand the test of time. But they also need more attractiveness to earn adoption.

Just like in tennis, you won't believe it how much you'll win by",[],False,"['ZeusRWA', 'defisushi']",[],True,False,False,False,False,False,False,False,False,True,False,False,False,,,,,PetreVeluda,Petre Veluda,False,False,False,False,False,False,False,292,418,0.6968973747016707
1991880022270116192,2025-11-21T14:42:59+00:00,en,"Your 20s will humble you.
Not because life is wicked,
but because maturity requires breaking your ego.💭","Your 20s will humble you.
Not because life is wicked,
but because maturity requires breaking your ego.💭",[],False,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,yomeegold,Pastor's Son💭,False,False,False,False,False,False,False,17,190,0.08900523560209424
1991880009699697092,2025-11-21T14:42:56+00:00,en,@SportsCenter @NFL You won't believe what I did today 😉 Check my profile,@SportsCenter @NFL You won't believe what I did today 😉 Check my profile,[],False,"['SportsCenter', 'NFL']",[],True,False,False,False,False,False,False,False,False,True,False,False,True,,,,,kieracoconut,kieracoconut,False,False,False,False,False,False,False,4348,362,11.977961432506888
1991880008038817970,2025-11-21T14:42:55+00:00,en,"Breaking: India’s Tejas Fighter Jet Crashes During Dubai Airshow Live Broadcast, Days After Oil Leak Sighting
 
Our deepest condolences go out to the pilot’s family and loved ones amid this tragic incident. The Tejas, India’s domestically developed light combat aircraft, crashed https://t.co/bAoG7rvRxp","Breaking: India’s Tejas Fighter Jet Crashes During Dubai Airshow Live Broadcast, Days After Oil Leak Sighting
 
Our deepest condolences go out to the pilot’s family and loved ones amid this tragic incident. The Tejas, India’s domestically developed light combat aircraft, crashed https://t.co/bAoG7rvRxp",['https://t.co/bAoG7rvRxp'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,zhang_heqing,Zhang Heqing,False,False,False,False,False,False,False,442392,20842,21.224967615026628
1991880003194417413,2025-11-21T14:42:54+00:00,en,@drharveee breaking bad,@drharveee breaking bad,[],False,['drharveee'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,azureben,olaneat,False,False,False,False,False,False,False,688,3963,0.17356205852674067
1991880002338541857,2025-11-21T14:42:54+00:00,en,"#Breaking | White House denies that Trump threatened lawmakers with execution

White House Press Secretary Karoline Leavitt  @PressSec , denied that Trump was calling for lawmakers to be executed, after Democrats urged service members and intelligence officials to disobey illegal https://t.co/Q4dTp79xUP","#Breaking | White House denies that Trump threatened lawmakers with execution

White House Press Secretary Karoline Leavitt  @PressSec , denied that Trump was calling for lawmakers to be executed, after Democrats urged service members and intelligence officials to disobey illegal https://t.co/Q4dTp79xUP",['https://t.co/Q4dTp79xUP'],True,['PressSec'],['Breaking'],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,aenewsEnglish24,AE News,False,False,True,False,False,False,False,3,65,0.045454545454545456
1991879995200037240,2025-11-21T14:42:52+00:00,en,Breaking the boycott: Some Canadians are planning to flock to the US this winter https://t.co/s3U2AMbXYb Time for Canada to impose an export fee at the  border for entry into the United States of America. One Thousand per vehicle and 10 dollars ( American) per person per day.,Breaking the boycott: Some Canadians are planning to flock to the US this winter https://t.co/s3U2AMbXYb Time for Canada to impose an export fee at the  border for entry into the United States of America. One Thousand per vehicle and 10 dollars ( American) per person per day.,['https://t.co/s3U2AMbXYb'],True,[],[],True,False,False,False,False,False,False,False,False,False,True,False,False,,,,,robertBrucelin1,robert Bruce lindley,False,False,True,False,False,False,False,591,14,39.4
1991879992058479065,2025-11-21T14:42:52+00:00,en,@theamelia__ breaking bad,@theamelia__ breaking bad,[],False,['theamelia__'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,MustinDominic,Dominic Mustin,False,False,False,False,False,False,False,22,96,0.2268041237113402
1991879988455641122,2025-11-21T14:42:51+00:00,en,"#BREAKING: FED'S MIRAN SAYS POLICY SHOULD BE FORECAST-DEPENDENT, NOT DATA-DEPENDENT","#BREAKING: FED'S MIRAN SAYS POLICY SHOULD BE FORECAST-DEPENDENT, NOT DATA-DEPENDENT",[],False,[],['BREAKING'],True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,BCDNewsBot,🚨BDN NEWS WIRE🚨,False,False,False,False,False,False,False,25,58,0.423728813559322
1991879979567878641,2025-11-21T14:42:49+00:00,en,"Breaking 🚨 

🚨 TEAMS IN #INDIA'S GROUP IN T20I WORLD CUP 2026 

 #USA
#Pakistan
#Namibia
#Netherlands

#WorldCup2026
#WorldCupT20I https://t.co/UBAU3SXm9U","Breaking 🚨 

🚨 TEAMS IN #INDIA'S GROUP IN T20I WORLD CUP 2026 

 #USA
#Pakistan
#Namibia
#Netherlands

#WorldCup2026
#WorldCupT20I https://t.co/UBAU3SXm9U",['https://t.co/UBAU3SXm9U'],True,[],"['INDIA', 'USA', 'Pakistan', 'Namibia', 'Netherlands', 'WorldCup2026', 'WorldCupT20I']",True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,CricUniverse7,sports news,False,False,True,False,False,False,False,22971,24612,0.9332872872059481
1991879975981756498,2025-11-21T14:42:48+00:00,en,"@DAKKADAKKA1 @OneRise1990 I’ve been saying this for a while now, why aren’t we going after people employing illegals? They are breaking the law as well and are the magnet that attract attracts illegal immigrants.","@DAKKADAKKA1 @OneRise1990 I’ve been saying this for a while now, why aren’t we going after people employing illegals? They are breaking the law as well and are the magnet that attract attracts illegal immigrants.",[],False,"['DAKKADAKKA1', 'OneRise1990']",[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,ClassicFord52,Michael Huff,False,False,True,False,False,False,False,6227,7386,0.8429673751184513
1991879975826538942,2025-11-21T14:42:48+00:00,en,"🚨 BREAKING: The Prime Minister slammed the former Chair of Liaison Committee and now plans to scrap the committee, in a statement released earlier today.

Read the Prime Ministers full statement below 👇
🖇️| https://t.co/EkqLkmd7Ft https://t.co/zg4eHrwKMn","🚨 BREAKING: The Prime Minister slammed the former Chair of Liaison Committee and now plans to scrap the committee, in a statement released earlier today.

Read the Prime Ministers full statement below 👇
🖇️| https://t.co/EkqLkmd7Ft https://t.co/zg4eHrwKMn","['https://t.co/EkqLkmd7Ft', 'https://t.co/zg4eHrwKMn']",True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,GBNewsRX,GB News ROBLOX,False,False,False,False,False,False,False,15,0,15.0
1991879966037074037,2025-11-21T14:42:45+00:00,en,"@TheJonDesousa @seanp89254781 @perseverare1776 Natural selection, plus if he's breaking into charging stations what else is he doing?","@TheJonDesousa @seanp89254781 @perseverare1776 Natural selection, plus if he's breaking into charging stations what else is he doing?",[],False,"['TheJonDesousa', 'seanp89254781', 'perseverare1776']",[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,CorrionTheReap,CorrionReaperOffical,False,False,False,False,False,False,False,280,398,0.7017543859649122
1991879965571514408,2025-11-21T14:42:45+00:00,en,💥Breaking News: India's Tejas fighter jet crashes during Dubai Air Show📣 https://t.co/4VZJPSyVmB,💥Breaking News: India's Tejas fighter jet crashes during Dubai Air Show📣 https://t.co/4VZJPSyVmB,['https://t.co/4VZJPSyVmB'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,WorldTechinfra0,World Tech & Infra,False,False,True,False,False,False,False,4,64,0.06153846153846154
1991879959271330133,2025-11-21T14:42:44+00:00,en,"🚨BREAKING: Mikel Arteta confirms Gabriel will be out for a ""few weeks"", but full timeline not yet known. The centre-back is due another scan next week.
 
Riccardo Calafiori hasn't trained yet, but there is a session tomorrow which he could be involved in.
 
The Arsenal manager https://t.co/rwOk6mSBPm","🚨BREAKING: Mikel Arteta confirms Gabriel will be out for a ""few weeks"", but full timeline not yet known. The centre-back is due another scan next week.
 
Riccardo Calafiori hasn't trained yet, but there is a session tomorrow which he could be involved in.
 
The Arsenal manager https://t.co/rwOk6mSBPm",['https://t.co/rwOk6mSBPm'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,BackyardArsenal,Backyard Arsenal ❤️,False,False,False,False,False,False,False,1440,198,7.236180904522613
1991879950971117662,2025-11-21T14:42:42+00:00,en,"#sugardaddylegit Sugarbaby needed....momma . is willing to spoil first 30 babies that Follow and Retweet this ..$5,000 for a start. 
 #sugardaddylegit
@sugardaddy

@sugardaddy

@sugarbabyneede1","#sugardaddylegit Sugarbaby needed....momma . is willing to spoil first 30 babies that Follow and Retweet this ..$5,000 for a start. 
 #sugardaddylegit
@sugardaddy

@sugardaddy

@sugarbabyneede1",[],False,"['sugardaddy', 'sugardaddy', 'sugarbabyneede1']","['sugardaddylegit', 'sugardaddylegit']",False,False,True,False,True,False,False,False,False,False,True,False,False,,,,,CederKate,Taylor Ceder,False,False,False,False,False,False,False,55,19,2.75
1991879949129818402,2025-11-21T14:42:41+00:00,en,"@DefiantLs Irish police arrest a man for breaking a court order.

Fixed it for you.","@DefiantLs Irish police arrest a man for breaking a court order.

Fixed it for you.",[],False,['DefiantLs'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,Moorezyman,Eoin Moore,False,False,False,False,False,False,False,508,431,1.1759259259259258
1991879941164794357,2025-11-21T14:42:39+00:00,en,"@MeghUpdates 🚨 INDIA'S DEFENCE BOOM GOES NUCLEAR! 💥🇮🇳

Record-breaking ₹1.54 LAKH CRORE production in FY25! Exports skyrocket to all-time high ₹23,622 crore! 193 contracts signed, HAL-BEL-BDL-Bharat Forge-Paras Defence stocks exploding! Aatmanirbhar Bharat turning India into global https://t.co/J8Yz3WAW21","@MeghUpdates 🚨 INDIA'S DEFENCE BOOM GOES NUCLEAR! 💥🇮🇳

Record-breaking ₹1.54 LAKH CRORE production in FY25! Exports skyrocket to all-time high ₹23,622 crore! 193 contracts signed, HAL-BEL-BDL-Bharat Forge-Paras Defence stocks exploding! Aatmanirbhar Bharat turning India into global https://t.co/J8Yz3WAW21",['https://t.co/J8Yz3WAW21'],True,['MeghUpdates'],[],True,False,False,False,False,False,False,False,False,False,True,False,False,,,,,RAJA_BHAIYA_371,RAJA BHAIYA,False,False,False,False,True,False,False,333,302,1.099009900990099
1991879936496619723,2025-11-21T14:42:38+00:00,en,@willempet Why are black/coloured south africans mostly the perpetrators of violence Willem? Because they were the most marginalized during Apartheid. Thats why they will kill you for your phone. &amp; why white SA’s commit the most commercial crimes. Not breaking news at all,@willempet Why are black/coloured south africans mostly the perpetrators of violence Willem? Because they were the most marginalized during Apartheid. Thats why they will kill you for your phone. &amp; why white SA’s commit the most commercial crimes. Not breaking news at all,[],False,['willempet'],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,wuppy,.,False,False,False,False,False,False,False,328,665,0.4924924924924925
1991879934575575394,2025-11-21T14:42:38+00:00,en,"BYD promoting its YangWang brand @ 2025 Guangzhou auto show.
provide
U9X video of breaking all the lap &amp; speed records around the world

U7 w/ its new Galaxy blue look. https://t.co/4qlaAtmOig","BYD promoting its YangWang brand @ 2025 Guangzhou auto show.
provide
U9X video of breaking all the lap &amp; speed records around the world

U7 w/ its new Galaxy blue look. https://t.co/4qlaAtmOig",['https://t.co/4qlaAtmOig'],True,[],[],True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,tphuang,tphuang,False,False,False,False,False,False,False,28885,370,77.85714285714286
1991879933312815506,2025-11-21T14:42:38+00:00,en,"See the megaphone pattern?  The JATS PT volatility bands, top is pointing up and bottom is pointing down.  Market does not know which way to go.  so will move to mean off the 3's before breaking out and showing which way.  VIX is trying to break through the statistical Daily mean https://t.co/4dNrMvYqm6","See the megaphone pattern?  The JATS PT volatility bands, top is pointing up and bottom is pointing down.  Market does not know which way to go.  so will move to mean off the 3's before breaking out and showing which way.  VIX is trying to break through the statistical Daily mean https://t.co/4dNrMvYqm6",['https://t.co/4dNrMvYqm6'],True,[],[],True,False,False,False,False,False,False,False,False,False,True,False,False,,,,,julie_wade,Julie Wade,False,False,False,False,False,False,False,6773,386,17.501291989664082
